Date,Price,Open,High,Low,Vol.,Change %
"Jun 30, 2025",49.69,49.63,49.71,49.68,,0.00%
"Jun 29, 2025",49.69,49.87,50.05,49.635,,-0.36%
"Jun 28, 2025",49.87,49.87,49.87,49.87,,0.00%
"Jun 27, 2025",49.87,49.87,49.87,49.87,,-0.06%
"Jun 26, 2025",49.9,49.9,49.9,49.9,,0.00%
"Jun 25, 2025",49.9,50.07,50.07,49.8438,,-0.30%
"Jun 24, 2025",50.05,50.68,50.705,49.9375,,-1.24%
"Jun 23, 2025",50.68,50.81,50.82,50.4887,,-0.24%
"Jun 22, 2025",50.8,50.63,50.975,50.55,,+0.34%
"Jun 21, 2025",50.63,50.65,50.65,50.63,,-0.08%
"Jun 20, 2025",50.67,50.67,50.67,50.63,,0.00%
"Jun 19, 2025",50.67,50.55,50.7325,50.52,,+0.30%
"Jun 18, 2025",50.52,50.12,50.64,50.075,,+0.74%
"Jun 17, 2025",50.15,50.26,50.38,50.0975,,-0.22%
"Jun 16, 2025",50.26,50.61,50.74,50.2,,-0.69%
"Jun 15, 2025",50.61,49.74,50.84,49.67,,+1.75%
"Jun 14, 2025",49.74,49.74,49.74,49.74,,0.00%
"Jun 13, 2025",49.74,49.74,49.74,49.74,,-0.06%
"Jun 12, 2025",49.77,49.52,49.945,49.45,,+0.53%
"Jun 11, 2025",49.51,49.53,49.565,49.415,,-0.04%
"Jun 10, 2025",49.53,49.64,49.67,49.44,,-0.22%
"Jun 09, 2025",49.64,49.64,49.64,49.64,,0.00%
"Jun 08, 2025",49.64,49.64,49.64,49.64,,0.00%
"Jun 07, 2025",49.64,49.64,49.64,49.64,,+0.04%
"Jun 06, 2025",49.62,49.6388,49.6388,49.62,,-0.06%
"Jun 05, 2025",49.65,49.6388,49.6513,49.6375,,-0.04%
"Jun 04, 2025",49.67,49.67,49.735,49.585,,0.00%
"Jun 03, 2025",49.67,49.69,49.74,49.6325,,-0.02%
"Jun 02, 2025",49.68,49.7,49.825,49.6413,,-0.04%
"Jun 01, 2025",49.7,49.72,49.85,49.62,,-0.04%
"May 31, 2025",49.72,49.765,49.765,49.72,,-0.08%
"May 30, 2025",49.76,49.765,49.765,49.72,,0.00%
